param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.07193,0.08772,0.11495,0.10559,0.12887,0.24445,50.0
Alt1,Replication,Hellinger,0.0698,0.0932,0.11598,0.11067,0.12383,0.25639,50.0
Alt1,NUTS,Hellinger,0.03555,0.08069,0.13287,0.0968,0.13171,0.59904,50.0
Alt1,HMC,Hellinger,0.06194,0.08982,0.11431,0.0998,0.12961,0.25396,50.0
Alt1,bayesm,KL,1.17275,,inf,inf,,inf,50.0
Alt1,Replication,KL,0.91263,,inf,inf,,inf,50.0
Alt1,NUTS,KL,0.41318,1.23687,inf,2.26197,20.33367,inf,50.0
Alt1,HMC,KL,0.76641,1.54363,inf,inf,,inf,50.0
Alt1,bayesm,JSD,0.00382,0.00596,0.01194,0.0095,0.01298,0.05536,50.0
Alt1,Replication,JSD,0.00355,0.00682,0.0124,0.01001,0.01254,0.06015,50.0
Alt1,NUTS,JSD,0.00088,0.00471,0.02187,0.00692,0.01364,0.26821,50.0
Alt1,HMC,JSD,0.0029,0.00594,0.012,0.00778,0.01258,0.05877,50.0
Alt1,bayesm,TVD,0.01721,0.04281,0.07347,0.07094,0.09232,0.23013,50.0
Alt1,Replication,TVD,0.01723,0.04572,0.07724,0.07464,0.09376,0.28002,50.0
Alt1,NUTS,TVD,0.00253,0.01632,0.07166,0.03294,0.06588,0.59014,50.0
Alt1,HMC,TVD,0.00882,0.02804,0.06574,0.04871,0.09346,0.21755,50.0
Alt1,bayesm,Wasserstein1,0.14093,0.23464,0.33868,0.30504,0.38408,0.86334,50.0
Alt1,Replication,Wasserstein1,0.15566,0.26002,0.33961,0.29307,0.37714,0.96205,50.0
Alt1,NUTS,Wasserstein1,0.09059,0.37899,1.34141,0.65026,0.85154,15.91525,50.0
Alt1,HMC,Wasserstein1,0.16626,0.43447,0.63103,0.52529,0.78245,1.9163,50.0
Alt2,bayesm,Hellinger,0.07494,0.09001,0.12283,0.098,0.141,0.26561,50.0
Alt2,Replication,Hellinger,0.07416,0.08838,0.12182,0.10114,0.14089,0.25794,50.0
Alt2,NUTS,Hellinger,0.0639,0.08962,0.13038,0.0993,0.1272,0.51408,50.0
Alt2,HMC,Hellinger,0.06867,0.09122,0.12956,0.10864,0.1458,0.39827,50.0
Alt2,bayesm,KL,0.9907,,inf,inf,,inf,50.0
Alt2,Replication,KL,0.99819,,inf,inf,,inf,50.0
Alt2,NUTS,KL,0.67435,1.61882,inf,inf,,inf,50.0
Alt2,HMC,KL,0.73333,2.998,inf,inf,,inf,50.0
Alt2,bayesm,JSD,0.00435,0.00627,0.01424,0.00792,0.01754,0.05396,50.0
Alt2,Replication,JSD,0.00414,0.00594,0.01415,0.00854,0.0162,0.05508,50.0
Alt2,NUTS,JSD,0.00289,0.00618,0.0184,0.00788,0.01389,0.19799,50.0
Alt2,HMC,JSD,0.00378,0.0065,0.01707,0.0096,0.01865,0.13027,50.0
Alt2,bayesm,TVD,0.02301,0.04587,0.08206,0.06759,0.10182,0.23525,50.0
Alt2,Replication,TVD,0.02644,0.04794,0.08391,0.06723,0.10108,0.23267,50.0
Alt2,NUTS,TVD,0.00841,0.04046,0.089,0.06899,0.09947,0.46768,50.0
Alt2,HMC,TVD,0.0277,0.04706,0.09088,0.07496,0.10999,0.37069,50.0
Alt2,bayesm,Wasserstein1,0.1932,0.25598,0.42987,0.30547,0.46117,1.73313,50.0
Alt2,Replication,Wasserstein1,0.19317,0.25467,0.38653,0.30658,0.43628,1.18772,50.0
Alt2,NUTS,Wasserstein1,0.19531,0.40967,0.7367,0.49248,0.71461,4.5173,50.0
Alt2,HMC,Wasserstein1,0.28153,0.40879,0.6214,0.4761,0.66216,2.6071,50.0
Alt3,bayesm,Hellinger,0.06799,0.08729,0.12147,0.106,0.12562,0.30871,50.0
Alt3,Replication,Hellinger,0.06593,0.0925,0.11755,0.10076,0.1264,0.30849,50.0
Alt3,NUTS,Hellinger,0.06346,0.0835,0.12111,0.09906,0.12485,0.34207,50.0
Alt3,HMC,Hellinger,0.07316,0.09074,0.12183,0.09886,0.1323,0.28037,50.0
Alt3,bayesm,KL,0.8842,,inf,inf,,inf,50.0
Alt3,Replication,KL,inf,,inf,inf,,inf,50.0
Alt3,NUTS,KL,0.97155,1.61702,inf,inf,,inf,50.0
Alt3,HMC,KL,1.30199,,inf,inf,,inf,50.0
Alt3,bayesm,JSD,0.00338,0.00586,0.01485,0.00875,0.01358,0.08901,50.0
Alt3,Replication,JSD,0.00318,0.00658,0.01369,0.00819,0.01366,0.08427,50.0
Alt3,NUTS,JSD,0.00292,0.00531,0.01562,0.00804,0.01222,0.10636,50.0
Alt3,HMC,JSD,0.00388,0.00622,0.01502,0.00787,0.01493,0.07225,50.0
Alt3,bayesm,TVD,0.01531,0.03984,0.08453,0.0594,0.0971,0.3318,50.0
Alt3,Replication,TVD,0.01492,0.04146,0.0815,0.06388,0.09665,0.30777,50.0
