k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
1,density,Alt1,bayesm,3.836,33.795,127.671,387.407,0.22,50
1,density,Alt1,bayesm_gibbs,4.734,48.718,154.493,325.21,0.24,50
1,density,Alt1,nuts,3.595,16.788,130.334,911.768,0.42,50
1,density,Alt1,hmc,3.77,15.028,54.299,121.552,0.12,50
1,density,Alt2,bayesm,4.657,27.739,79.097,232.373,0.18,50
1,density,Alt2,bayesm_gibbs,3.823,17.731,131.655,568.713,0.28,50
1,density,Alt2,nuts,3.235,14.546,54.39,516.446,0.28,50
1,density,Alt2,hmc,3.137,16.571,39.486,138.295,0.14,50
1,density,Alt3,bayesm,5.369,41.912,130.675,386.163,0.24,50
1,density,Alt3,bayesm_gibbs,9.564,43.112,129.238,295.355,0.16,50
1,density,Alt3,nuts,3.98,16.127,83.838,545.925,0.36,50
1,density,Alt3,hmc,4.185,16.795,64.262,259.484,0.12,50
1,density,Price,bayesm,4.565,39.033,98.63,707.836,0.32,50
1,density,Price,bayesm_gibbs,3.715,24.439,99.314,289.27,0.2,50
1,density,Price,nuts,3.898,12.057,48.328,440.685,0.28,50
1,density,Price,hmc,3.152,13.762,33.239,117.236,0.14,50
1,Mean,Alt1,bayesm,3.626,27.795,77.858,271.2,0.2,50
1,Mean,Alt1,bayesm_gibbs,6.587,30.761,142.531,347.553,0.24,50
1,Mean,Alt1,nuts,5.207,30.042,175.66,1508.081,0.42,50
1,Mean,Alt1,hmc,4.768,27.245,87.05,324.593,0.22,50
1,Mean,Alt2,bayesm,2.758,25.724,86.509,402.701,0.26,50
1,Mean,Alt2,bayesm_gibbs,5.584,17.675,48.482,278.425,0.24,50
1,Mean,Alt2,nuts,3.483,20.446,150.043,1483.289,0.38,50
1,Mean,Alt2,hmc,2.683,17.674,63.38,279.127,0.22,50
1,Mean,Alt3,bayesm,3.963,40.974,114.823,460.293,0.3,50
1,Mean,Alt3,bayesm_gibbs,5.808,35.219,113.615,384.293,0.24,50
1,Mean,Alt3,nuts,5.309,28.822,129.838,1190.148,0.36,50
1,Mean,Alt3,hmc,4.587,17.15,105.445,290.296,0.16,50
1,Mean,Price,bayesm,4.723,19.004,61.836,257.069,0.24,50
1,Mean,Price,bayesm_gibbs,3.671,22.909,93.94,394.42,0.26,50
1,Mean,Price,nuts,4.118,16.807,112.633,683.252,0.42,50
1,Mean,Price,hmc,3.372,15.878,80.287,184.598,0.18,50
1,Var,Alt1,bayesm,4.617,44.723,223.354,684.21,0.38,50
1,Var,Alt1,bayesm_gibbs,10.194,38.481,183.127,628.843,0.36,50
1,Var,Alt1,nuts,4.765,17.35,284.281,1529.197,0.44,50
1,Var,Alt1,hmc,3.902,9.739,30.503,109.203,0.12,50
1,Var,Alt2,bayesm,2.889,49.657,143.91,1011.093,0.42,50
1,Var,Alt2,bayesm_gibbs,6.655,19.973,165.518,727.158,0.36,50
1,Var,Alt2,nuts,4.045,14.716,116.759,1345.874,0.4,50
1,Var,Alt2,hmc,2.968,14.016,50.843,155.568,0.16,50
1,Var,Alt3,bayesm,4.585,54.707,328.999,950.288,0.48,50
1,Var,Alt3,bayesm_gibbs,5.545,63.535,196.967,651.539,0.36,50
1,Var,Alt3,nuts,3.241,25.349,148.56,1586.464,0.42,50
1,Var,Alt3,hmc,4.613,14.074,28.756,260.29,0.16,50
1,Var,Price,bayesm,3.887,49.372,180.694,633.039,0.32,50
1,Var,Price,bayesm_gibbs,4.469,30.355,208.472,762.668,0.36,50
1,Var,Price,nuts,3.004,22.573,219.341,1291.125,0.38,50
1,Var,Price,hmc,4.29,14.14,54.764,194.463,0.16,50
2,density,Alt1,bayesm,4.618,31.082,113.722,479.116,0.28,50
2,density,Alt1,bayesm_gibbs,4.193,24.646,111.132,588.63,0.3,50
2,density,Alt1,nuts,4.578,22.509,89.385,581.395,0.3,50
2,density,Alt1,hmc,3.029,23.716,92.25,374.231,0.24,50
2,density,Alt2,bayesm,6.936,23.721,77.944,415.217,0.26,50
2,density,Alt2,bayesm_gibbs,4.741,43.724,105.814,452.952,0.26,50
2,density,Alt2,nuts,5.441,18.848,63.818,477.764,0.26,50
2,density,Alt2,hmc,3.739,21.779,69.664,303.655,0.22,50
2,density,Alt3,bayesm,7.428,30.468,74.36,425.633,0.26,50
2,density,Alt3,bayesm_gibbs,5.252,22.197,61.462,154.657,0.12,50
2,density,Alt3,nuts,4.878,14.572,39.628,219.408,0.18,50
2,density,Alt3,hmc,4.0,16.852,74.686,296.186,0.22,50
2,density,Price,bayesm,5.847,30.741,80.789,260.929,0.12,50
2,density,Price,bayesm_gibbs,5.316,41.656,103.707,301.085,0.22,50
2,density,Price,nuts,4.085,13.133,44.502,256.305,0.16,50
2,density,Price,hmc,2.784,21.538,64.36,204.526,0.18,50
2,Mean,Alt1,bayesm,3.343,17.867,84.1,240.062,0.14,50
2,Mean,Alt1,bayesm_gibbs,5.469,27.457,70.26,157.49,0.1,50
2,Mean,Alt1,nuts,3.036,10.114,51.031,175.511,0.14,50
2,Mean,Alt1,hmc,2.805,9.417,61.088,293.023,0.22,50
2,Mean,Alt2,bayesm,3.639,25.308,69.555,240.548,0.18,50
2,Mean,Alt2,bayesm_gibbs,5.334,24.937,55.563,247.874,0.18,50
2,Mean,Alt2,nuts,3.466,13.798,29.603,81.272,0.14,50
2,Mean,Alt2,hmc,3.403,14.971,49.5,278.802,0.18,50
2,Mean,Alt3,bayesm,4.009,18.261,73.068,162.231,0.12,50
2,Mean,Alt3,bayesm_gibbs,4.396,17.774,70.864,202.387,0.16,50
2,Mean,Alt3,nuts,3.322,9.843,43.055,179.689,0.14,50
2,Mean,Alt3,hmc,2.791,20.646,48.818,241.094,0.18,50
2,Mean,Price,bayesm,5.22,49.397,138.49,478.166,0.28,50
2,Mean,Price,bayesm_gibbs,7.183,55.246,181.132,490.828,0.28,50
2,Mean,Price,nuts,2.912,10.834,66.884,375.267,0.24,50
2,Mean,Price,hmc,2.824,10.692,26.773,87.304,0.14,50
2,Var,Alt1,bayesm,3.38,16.974,49.593,218.081,0.16,50
2,Var,Alt1,bayesm_gibbs,4.628,16.881,56.041,194.789,0.06,50
2,Var,Alt1,nuts,4.772,11.446,25.025,65.88,0.08,50
2,Var,Alt1,hmc,3.455,12.74,37.371,149.68,0.12,50
2,Var,Alt2,bayesm,3.253,19.019,78.751,286.026,0.22,50
2,Var,Alt2,bayesm_gibbs,5.061,22.166,71.518,176.645,0.18,50
2,Var,Alt2,nuts,4.422,10.564,34.853,153.449,0.1,50
2,Var,Alt2,hmc,4.349,11.334,23.51,111.623,0.14,50
2,Var,Alt3,bayesm,5.513,19.842,63.1,152.493,0.14,50
2,Var,Alt3,bayesm_gibbs,4.858,20.813,75.204,234.12,0.2,50
2,Var,Alt3,nuts,4.055,10.788,22.759,87.621,0.14,50
2,Var,Alt3,hmc,3.492,12.456,28.147,236.345,0.2,50
2,Var,Price,bayesm,5.056,31.904,115.768,298.479,0.2,50
2,Var,Price,bayesm_gibbs,8.909,49.696,144.506,287.558,0.16,50
2,Var,Price,nuts,3.465,13.621,29.011,89.245,0.1,50
2,Var,Price,hmc,3.46,11.032,34.09,236.869,0.2,50
3,density,Alt1,bayesm,3.095,37.946,181.97,581.804,0.38,50
3,density,Alt1,bayesm_gibbs,4.171,22.322,74.9,430.487,0.28,50
3,density,Alt1,nuts,3.115,19.436,52.794,502.295,0.3,50
3,density,Alt1,hmc,2.901,12.223,35.459,132.352,0.08,50
3,density,Alt2,bayesm,6.962,33.924,186.767,488.177,0.34,50
3,density,Alt2,bayesm_gibbs,7.036,49.306,204.295,546.124,0.34,50
3,density,Alt2,nuts,4.172,17.533,91.18,390.526,0.24,50
3,density,Alt2,hmc,3.341,13.038,28.524,167.448,0.12,50
3,density,Alt3,bayesm,4.48,19.746,65.07,454.154,0.28,50
3,density,Alt3,bayesm_gibbs,6.704,47.473,274.113,657.104,0.38,50
3,density,Alt3,nuts,3.615,25.566,95.873,323.782,0.24,50
3,density,Alt3,hmc,2.963,16.393,56.927,290.765,0.22,50
3,density,Price,bayesm,4.292,30.697,123.346,835.582,0.36,50
3,density,Price,bayesm_gibbs,6.599,55.118,358.01,1235.996,0.48,50
3,density,Price,nuts,2.826,20.131,129.886,473.274,0.28,50
3,density,Price,hmc,2.903,11.475,50.514,197.035,0.14,50
3,Mean,Alt1,bayesm,3.7,25.376,70.249,245.581,0.16,50
3,Mean,Alt1,bayesm_gibbs,3.641,15.97,50.764,180.051,0.14,50
3,Mean,Alt1,nuts,2.788,14.082,47.384,234.288,0.22,50
3,Mean,Alt1,hmc,2.823,12.858,53.432,215.244,0.12,50
3,Mean,Alt2,bayesm,4.858,21.318,71.3,267.663,0.18,50
3,Mean,Alt2,bayesm_gibbs,5.147,20.24,98.414,323.544,0.18,50
3,Mean,Alt2,nuts,2.939,15.205,39.438,193.337,0.16,50
3,Mean,Alt2,hmc,3.269,11.029,38.976,127.034,0.16,50
3,Mean,Alt3,bayesm,3.191,17.391,67.681,116.078,0.1,50
3,Mean,Alt3,bayesm_gibbs,6.91,35.681,77.842,246.855,0.1,50
3,Mean,Alt3,nuts,3.231,13.616,42.207,110.594,0.1,50
3,Mean,Alt3,hmc,2.921,7.346,33.235,119.945,0.1,50
