k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,Hellinger,0.05882,0.06189,0.10391,0.06922,0.09134,0.2383,5.0
1,Alt1,Replication,Hellinger,0.05667,0.06068,0.10393,0.06122,0.09676,0.24434,5.0
1,Alt1,NUTS,Hellinger,0.05578,0.06947,0.12018,0.07594,0.12664,0.27307,4.0
1,Alt1,HMC,Hellinger,0.06836,0.06985,0.11659,0.07287,0.10001,0.27187,5.0
1,Alt1,bayesm,KL,0.10765,0.1359,0.23072,0.17672,0.22424,0.50908,5.0
1,Alt1,Replication,KL,0.12567,0.12616,0.24176,0.15459,0.28328,0.51911,5.0
1,Alt1,NUTS,KL,0.71649,0.8335,inf,inf,,inf,4.0
1,Alt1,HMC,KL,0.52534,,inf,inf,,inf,5.0
1,Alt1,bayesm,JSD,0.00263,0.00294,0.01385,0.0037,0.00666,0.05332,5.0
1,Alt1,Replication,JSD,0.00242,0.00288,0.01431,0.00288,0.00737,0.05598,5.0
1,Alt1,NUTS,JSD,0.00242,0.00364,0.01975,0.00422,0.02033,0.06816,4.0
1,Alt1,HMC,JSD,0.00351,0.00368,0.01742,0.004,0.00812,0.06778,5.0
1,Alt1,bayesm,TVD,0.01966,0.03194,0.07711,0.03315,0.04825,0.25257,5.0
1,Alt1,Replication,TVD,0.01874,0.03075,0.07766,0.03206,0.04748,0.25927,5.0
1,Alt1,NUTS,TVD,0.02056,0.02787,0.09109,0.03104,0.09426,0.28173,4.0
1,Alt1,HMC,TVD,0.02799,0.03089,0.08937,0.03483,0.07127,0.28186,5.0
1,Alt1,bayesm,Wasserstein1,0.05354,0.08564,0.20113,0.12515,0.19961,0.54173,5.0
1,Alt1,Replication,Wasserstein1,0.05571,0.07726,0.20508,0.12446,0.20984,0.55812,5.0
1,Alt1,NUTS,Wasserstein1,0.11057,0.18609,0.31491,0.21158,0.3404,0.72591,4.0
1,Alt1,HMC,Wasserstein1,0.1604,0.17762,0.30917,0.1843,0.32307,0.70045,5.0
1,Alt2,bayesm,Hellinger,0.06606,0.06849,0.07662,0.07046,0.08399,0.09408,5.0
1,Alt2,Replication,Hellinger,0.06638,0.0673,0.07569,0.07004,0.08198,0.09275,5.0
1,Alt2,NUTS,Hellinger,0.07753,0.08421,0.08658,0.08654,0.08891,0.09572,4.0
1,Alt2,HMC,Hellinger,0.07094,0.07662,0.08525,0.083,0.09729,0.09841,5.0
1,Alt2,bayesm,KL,0.07024,0.07981,0.13273,0.12918,0.14687,0.23756,5.0
1,Alt2,Replication,KL,0.05876,0.08744,0.15267,0.12736,0.22897,0.26083,5.0
1,Alt2,NUTS,KL,0.24784,0.5323,inf,0.88852,inf,inf,4.0
1,Alt2,HMC,KL,0.21233,0.44307,0.54027,0.44967,0.75692,0.83934,5.0
1,Alt2,bayesm,JSD,0.00328,0.00407,0.0051,0.00428,0.0063,0.00758,5.0
1,Alt2,Replication,JSD,0.00331,0.004,0.00492,0.00422,0.00601,0.00704,5.0
1,Alt2,NUTS,JSD,0.00448,0.00576,0.00634,0.00652,0.00711,0.00785,4.0
1,Alt2,HMC,JSD,0.0038,0.00513,0.00629,0.00579,0.00835,0.0084,5.0
1,Alt2,bayesm,TVD,0.02638,0.04676,0.05061,0.05083,0.06284,0.06622,5.0
1,Alt2,Replication,TVD,0.02698,0.0469,0.04878,0.0501,0.05434,0.06559,5.0
1,Alt2,NUTS,TVD,0.03361,0.05304,0.05925,0.06548,0.07169,0.0724,4.0
1,Alt2,HMC,TVD,0.03181,0.05836,0.06007,0.05881,0.07447,0.07688,5.0
1,Alt2,bayesm,Wasserstein1,0.07735,0.12131,0.15135,0.15641,0.18568,0.21599,5.0
1,Alt2,Replication,Wasserstein1,0.07719,0.12001,0.15086,0.15377,0.18535,0.218,5.0
1,Alt2,NUTS,Wasserstein1,0.14616,0.18314,0.22182,0.21394,0.25262,0.31327,4.0
1,Alt2,HMC,Wasserstein1,0.11623,0.1924,0.21102,0.2125,0.23744,0.29655,5.0
1,Alt3,bayesm,Hellinger,0.06075,0.06358,0.07914,0.08139,0.09335,0.09661,5.0
1,Alt3,Replication,Hellinger,0.05277,0.05899,0.07506,0.08157,0.0899,0.09206,5.0
1,Alt3,NUTS,Hellinger,0.04679,0.06164,0.07972,0.07716,0.09524,0.11775,4.0
1,Alt3,HMC,Hellinger,0.06013,0.06248,0.08162,0.07907,0.08465,0.12179,5.0
1,Alt3,bayesm,KL,0.07924,0.09594,0.13574,0.10911,0.11338,0.28101,5.0
1,Alt3,Replication,KL,0.07825,0.08129,0.1313,0.08655,0.09643,0.31397,5.0
1,Alt3,NUTS,KL,0.09552,0.27506,0.43541,0.34775,0.50809,0.95061,4.0
1,Alt3,HMC,KL,0.18597,0.19735,0.36797,0.22958,0.37464,0.85233,5.0
1,Alt3,bayesm,JSD,0.00283,0.00307,0.00566,0.00599,0.00812,0.0083,5.0
1,Alt3,Replication,JSD,0.00215,0.00271,0.00518,0.00603,0.00742,0.00758,5.0
1,Alt3,NUTS,JSD,0.00175,0.00287,0.006,0.0049,0.00802,0.01244,4.0
1,Alt3,HMC,JSD,0.0027,0.00295,0.00618,0.00548,0.00643,0.01336,5.0
1,Alt3,bayesm,TVD,0.01634,0.02835,0.05561,0.07157,0.07349,0.08829,5.0
1,Alt3,Replication,TVD,0.01553,0.03019,0.05402,0.06632,0.07199,0.08608,5.0
1,Alt3,NUTS,TVD,0.02258,0.02272,0.05205,0.04502,0.07434,0.09557,4.0
1,Alt3,HMC,TVD,0.02374,0.02482,0.0576,0.0645,0.07431,0.10061,5.0
1,Alt3,bayesm,Wasserstein1,0.06456,0.07578,0.12921,0.13527,0.15648,0.21395,5.0
1,Alt3,Replication,Wasserstein1,0.06374,0.06535,0.12532,0.12803,0.16299,0.20648,5.0
1,Alt3,NUTS,Wasserstein1,0.07629,0.08572,0.1405,0.14105,0.19583,0.20361,4.0
1,Alt3,HMC,Wasserstein1,0.08022,0.12351,0.15961,0.17922,0.20606,0.20903,5.0
1,Price,bayesm,Hellinger,0.05558,0.05874,0.06814,0.06591,0.0693,0.09116,5.0
1,Price,Replication,Hellinger,0.05622,0.05791,0.06555,0.06517,0.06579,0.08267,5.0
1,Price,NUTS,Hellinger,0.04035,0.05584,0.0658,0.06621,0.07618,0.09045,4.0
1,Price,HMC,Hellinger,0.05281,0.05707,0.06556,0.05955,0.06971,0.08866,5.0
1,Price,bayesm,KL,0.12122,0.12709,0.1612,0.15478,0.15599,0.24693,5.0
1,Price,Replication,KL,0.10736,0.12878,0.15705,0.13892,0.1539,0.25627,5.0
1,Price,NUTS,KL,0.03541,0.237,0.27703,0.30608,0.34612,0.46057,4.0
1,Price,HMC,KL,0.09931,0.20577,0.26177,0.26477,0.32219,0.4168,5.0
1,Price,bayesm,JSD,0.00243,0.00263,0.00386,0.00362,0.00381,0.00681,5.0
1,Price,Replication,JSD,0.0024,0.00262,0.00354,0.00351,0.00354,0.00564,5.0
1,Price,NUTS,JSD,0.00134,0.0024,0.00376,0.0035,0.00486,0.0067,4.0
1,Price,HMC,JSD,0.00217,0.0025,0.00353,0.0026,0.00407,0.00631,5.0
1,Price,bayesm,TVD,0.02802,0.02996,0.04125,0.04169,0.04217,0.06443,5.0
1,Price,Replication,TVD,0.02631,0.03019,0.04008,0.04142,0.043,0.0595,5.0
1,Price,NUTS,TVD,0.02381,0.02734,0.04148,0.03789,0.05203,0.06632,4.0
1,Price,HMC,TVD,0.0216,0.02827,0.03716,0.02947,0.0462,0.06024,5.0
1,Price,bayesm,Wasserstein1,0.05466,0.08567,0.11037,0.09265,0.14877,0.17012,5.0
1,Price,Replication,Wasserstein1,0.0546,0.08102,0.10861,0.09128,0.14997,0.1662,5.0
1,Price,NUTS,Wasserstein1,0.09763,0.1001,0.12976,0.10734,0.137,0.20672,4.0
1,Price,HMC,Wasserstein1,0.07371,0.08822,0.11593,0.10831,0.11916,0.19025,5.0
2,Alt1,bayesm,Hellinger,0.05464,0.07557,0.10338,0.10243,0.10584,0.17843,5.0
2,Alt1,Replication,Hellinger,0.05364,0.08178,0.10415,0.09969,0.10656,0.17906,5.0
2,Alt1,NUTS,Hellinger,0.04828,0.08002,0.12268,0.11176,0.15988,0.20801,3.0
2,Alt1,HMC,Hellinger,0.06273,0.06571,0.11185,0.0921,0.12434,0.21436,5.0
2,Alt1,bayesm,KL,0.03709,0.15427,0.24249,0.20739,0.36711,0.44659,5.0
2,Alt1,Replication,KL,0.03283,0.16804,0.24292,0.23003,0.24333,0.54038,5.0
2,Alt1,NUTS,KL,0.01687,0.0861,0.19673,0.15533,0.28666,0.41799,3.0
2,Alt1,HMC,KL,0.20433,0.32572,0.57751,0.48824,0.77922,1.09006,5.0
2,Alt1,bayesm,JSD,0.0026,0.00444,0.01105,0.00935,0.01014,0.0287,5.0
2,Alt1,Replication,JSD,0.00253,0.00514,0.01114,0.00895,0.01018,0.0289,5.0
2,Alt1,NUTS,JSD,0.00227,0.00702,0.01753,0.01178,0.02516,0.03855,3.0
2,Alt1,HMC,JSD,0.00327,0.00376,0.01395,0.00784,0.01386,0.04102,5.0
2,Alt1,bayesm,TVD,0.03755,0.04743,0.07959,0.07167,0.09401,0.14731,5.0
2,Alt1,Replication,TVD,0.03665,0.04789,0.07943,0.07142,0.0926,0.1486,5.0
2,Alt1,NUTS,TVD,0.04058,0.07116,0.10041,0.10174,0.13033,0.15892,3.0
2,Alt1,HMC,TVD,0.04766,0.0513,0.09117,0.07191,0.10531,0.17965,5.0
2,Alt1,bayesm,Wasserstein1,0.09507,0.13306,0.27076,0.25385,0.29943,0.57241,5.0
2,Alt1,Replication,Wasserstein1,0.09091,0.14537,0.2698,0.25307,0.28129,0.57836,5.0
2,Alt1,NUTS,Wasserstein1,0.08964,0.17566,0.27719,0.26168,0.37096,0.48025,3.0
2,Alt1,HMC,Wasserstein1,0.13314,0.14147,0.3259,0.27925,0.35616,0.71946,5.0
2,Alt2,bayesm,Hellinger,0.06207,0.07352,0.07318,0.07594,0.07642,0.07795,5.0
2,Alt2,Replication,Hellinger,0.059,0.07132,0.07295,0.0773,0.07746,0.07965,5.0
2,Alt2,NUTS,Hellinger,0.04207,0.04289,0.04739,0.0437,0.05005,0.0564,3.0
2,Alt2,HMC,Hellinger,0.0539,0.06309,0.06494,0.06456,0.06511,0.07805,5.0
2,Alt2,bayesm,KL,0.05568,0.06432,0.13053,0.14179,0.17507,0.21579,5.0
2,Alt2,Replication,KL,0.05128,0.05578,0.124,0.11139,0.11552,0.28604,5.0
2,Alt2,NUTS,KL,0.01012,0.01936,0.0257,0.0286,0.03349,0.03838,3.0
2,Alt2,HMC,KL,0.14524,0.1571,0.24952,0.18506,0.30453,0.45566,5.0
2,Alt2,bayesm,JSD,0.00328,0.00439,0.00459,0.00475,0.00494,0.00561,5.0
2,Alt2,Replication,JSD,0.00297,0.00444,0.0046,0.00484,0.00517,0.00557,5.0
2,Alt2,NUTS,JSD,0.00165,0.00176,0.0022,0.00188,0.00247,0.00306,3.0
2,Alt2,HMC,JSD,0.00246,0.00339,0.00369,0.00341,0.00372,0.00546,5.0
2,Alt2,bayesm,TVD,0.04475,0.04751,0.05529,0.04991,0.06326,0.07103,5.0
2,Alt2,Replication,TVD,0.04488,0.04803,0.05606,0.05233,0.06367,0.07139,5.0
2,Alt2,NUTS,TVD,0.03253,0.04296,0.04687,0.05339,0.05404,0.05469,3.0
2,Alt2,HMC,TVD,0.03727,0.04566,0.05159,0.05029,0.05473,0.06998,5.0
2,Alt2,bayesm,Wasserstein1,0.08686,0.11161,0.13545,0.13437,0.16041,0.184,5.0
2,Alt2,Replication,Wasserstein1,0.08312,0.11164,0.13982,0.12272,0.19004,0.19156,5.0
2,Alt2,NUTS,Wasserstein1,0.08886,0.09304,0.1012,0.09723,0.10737,0.11751,3.0
2,Alt2,HMC,Wasserstein1,0.09384,0.10277,0.14605,0.15723,0.18232,0.19407,5.0
2,Alt3,bayesm,Hellinger,0.05693,0.06532,0.1037,0.08922,0.09312,0.21393,5.0
2,Alt3,Replication,Hellinger,0.06382,0.07162,0.10787,0.09108,0.09412,0.21869,5.0
2,Alt3,NUTS,Hellinger,0.03825,0.05162,0.11122,0.06499,0.1477,0.23042,3.0
2,Alt3,HMC,Hellinger,0.0541,0.06221,0.10105,0.07695,0.08457,0.2274,5.0
2,Alt3,bayesm,KL,0.09281,0.13638,0.21213,0.14223,0.17251,0.5167,5.0
2,Alt3,Replication,KL,0.10258,0.13814,0.22159,0.17024,0.18578,0.51122,5.0
2,Alt3,NUTS,KL,0.01587,0.02088,0.15754,0.02589,0.22838,0.43087,3.0
2,Alt3,HMC,KL,0.10059,0.10598,0.2055,0.12034,0.19544,0.50517,5.0
2,Alt3,bayesm,JSD,0.00263,0.00356,0.01231,0.00689,0.00779,0.0407,5.0
2,Alt3,Replication,JSD,0.0032,0.00424,0.01301,0.00743,0.00757,0.0426,5.0
2,Alt3,NUTS,JSD,0.00136,0.00275,0.01744,0.00414,0.02548,0.04683,3.0
2,Alt3,HMC,JSD,0.00245,0.00317,0.01273,0.00542,0.00675,0.04587,5.0
2,Alt3,bayesm,TVD,0.02377,0.05205,0.07855,0.06536,0.07731,0.17424,5.0
2,Alt3,Replication,TVD,0.02592,0.05379,0.08046,0.06618,0.07599,0.18041,5.0
2,Alt3,NUTS,TVD,0.02376,0.04642,0.08934,0.06908,0.12214,0.17519,3.0
2,Alt3,HMC,TVD,0.02986,0.04215,0.07962,0.06458,0.07708,0.18445,5.0
2,Alt3,bayesm,Wasserstein1,0.08644,0.11978,0.23773,0.18996,0.37695,0.41551,5.0
2,Alt3,Replication,Wasserstein1,0.09843,0.12311,0.24325,0.19396,0.37394,0.42683,5.0
2,Alt3,NUTS,Wasserstein1,0.05046,0.11618,0.21148,0.18189,0.292,0.4021,3.0
2,Alt3,HMC,Wasserstein1,0.1057,0.10616,0.24397,0.14974,0.42306,0.43521,5.0
2,Price,bayesm,Hellinger,0.06191,0.0638,0.08107,0.08553,0.08971,0.10441,5.0
2,Price,Replication,Hellinger,0.06084,0.06104,0.07705,0.0755,0.08277,0.10511,5.0
2,Price,NUTS,Hellinger,0.05476,0.06147,0.07268,0.06818,0.08164,0.09509,3.0
2,Price,HMC,Hellinger,0.04868,0.0499,0.07159,0.07112,0.08294,0.10531,5.0
2,Price,bayesm,KL,0.06948,0.12743,0.18955,0.20366,0.21695,0.33025,5.0
2,Price,Replication,KL,0.06785,0.11486,0.14687,0.11802,0.14555,0.28807,5.0
2,Price,NUTS,KL,0.02162,0.02402,0.05389,0.02643,0.07002,0.11361,3.0
2,Price,HMC,KL,0.07144,0.09536,0.13962,0.11945,0.17045,0.24138,5.0
2,Price,bayesm,JSD,0.00293,0.00323,0.00587,0.00659,0.00691,0.00969,5.0
2,Price,Replication,JSD,0.00292,0.00293,0.00545,0.00493,0.00645,0.01003,5.0
2,Price,NUTS,JSD,0.00289,0.00374,0.00537,0.0046,0.00662,0.00863,3.0
2,Price,HMC,JSD,0.00191,0.00203,0.00505,0.00436,0.00654,0.01043,5.0
2,Price,bayesm,TVD,0.03541,0.03596,0.06016,0.05983,0.08216,0.08743,5.0
2,Price,Replication,TVD,0.03456,0.03703,0.06081,0.06177,0.08014,0.09057,5.0
2,Price,NUTS,TVD,0.05365,0.06114,0.06681,0.06863,0.07339,0.07816,3.0
