param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.06838,0.0941,0.13759,0.10388,0.13891,0.2827,5.0
Alt1,Replication,Hellinger,0.06777,0.08184,0.14896,0.09328,0.13641,0.3655,5.0
Alt1,NUTS,Hellinger,0.10221,0.13364,0.19403,0.15852,0.18693,0.38887,5.0
Alt1,HMC,Hellinger,0.08794,0.17142,0.16676,0.17412,0.19947,0.20087,5.0
Alt1,bayesm,KL,inf,,inf,inf,,inf,5.0
Alt1,Replication,KL,0.02522,,inf,inf,,inf,5.0
Alt1,NUTS,KL,0.25272,,inf,inf,,inf,5.0
Alt1,HMC,KL,0.24789,0.41457,inf,0.59335,,inf,5.0
Alt1,bayesm,JSD,0.00441,0.00715,0.02041,0.00956,0.01758,0.06337,5.0
Alt1,Replication,JSD,0.00433,0.00572,0.02776,0.00763,0.01679,0.10431,5.0
Alt1,NUTS,JSD,0.00934,0.01438,0.0389,0.02204,0.03111,0.11763,5.0
Alt1,HMC,JSD,0.00654,0.0254,0.02528,0.02755,0.03059,0.03633,5.0
Alt1,bayesm,TVD,0.04581,0.0536,0.09746,0.08931,0.12435,0.17424,5.0
Alt1,Replication,TVD,0.04387,0.05346,0.10651,0.0848,0.12124,0.22919,5.0
Alt1,NUTS,TVD,0.06083,0.08905,0.13278,0.12737,0.15945,0.2272,5.0
Alt1,HMC,TVD,0.03084,0.13759,0.1345,0.14788,0.16457,0.1916,5.0
Alt1,bayesm,Wasserstein1,0.10582,0.2527,0.43147,0.38168,0.48359,0.93354,5.0
Alt1,Replication,Wasserstein1,0.10291,0.24051,0.52948,0.41112,0.47675,1.41611,5.0
Alt1,NUTS,Wasserstein1,0.2097,0.59501,1.84536,0.61517,1.36998,6.43695,5.0
Alt1,HMC,Wasserstein1,0.21457,0.61329,0.75705,0.71816,0.7507,1.48851,5.0
Alt2,bayesm,Hellinger,0.06686,0.07732,0.13841,0.08512,0.19839,0.26437,5.0
Alt2,Replication,Hellinger,0.06578,0.08478,0.13854,0.08676,0.18786,0.26751,5.0
Alt2,NUTS,Hellinger,0.08478,0.10087,0.15818,0.10393,0.20747,0.29383,5.0
Alt2,HMC,Hellinger,0.09375,0.10128,0.14894,0.10182,0.18881,0.25903,5.0
Alt2,bayesm,KL,inf,,inf,inf,,inf,5.0
Alt2,Replication,KL,0.01765,,inf,inf,,inf,5.0
Alt2,NUTS,KL,0.36874,,inf,inf,,inf,5.0
Alt2,HMC,KL,0.60935,,inf,inf,,inf,5.0
Alt2,bayesm,JSD,0.00445,0.00564,0.02149,0.00696,0.03444,0.05596,5.0
Alt2,Replication,JSD,0.00431,0.00654,0.02102,0.0071,0.03089,0.05626,5.0
Alt2,NUTS,JSD,0.00684,0.00979,0.02654,0.00999,0.03731,0.06878,5.0
Alt2,HMC,JSD,0.00818,0.00938,0.02317,0.01007,0.02946,0.05874,5.0
Alt2,bayesm,TVD,0.07353,0.08026,0.11834,0.08383,0.14886,0.20522,5.0
Alt2,Replication,TVD,0.07693,0.07906,0.11566,0.08111,0.13881,0.20239,5.0
Alt2,NUTS,TVD,0.0827,0.08399,0.13147,0.09869,0.16587,0.22608,5.0
Alt2,HMC,TVD,0.08641,0.09038,0.12695,0.0981,0.13706,0.22282,5.0
Alt2,bayesm,Wasserstein1,0.23172,0.25533,0.54776,0.33035,0.45929,1.46211,5.0
Alt2,Replication,Wasserstein1,0.22957,0.25778,0.53329,0.39001,0.4328,1.3563,5.0
Alt2,NUTS,Wasserstein1,0.27118,0.38166,0.80876,0.48771,0.50129,2.40197,5.0
Alt2,HMC,Wasserstein1,0.28613,0.29887,0.5268,0.35889,0.53289,1.15722,5.0
Alt3,bayesm,Hellinger,0.06908,0.0893,0.11961,0.1222,0.14006,0.17739,5.0
Alt3,Replication,Hellinger,0.058,0.08573,0.12066,0.11432,0.15316,0.19208,5.0
Alt3,NUTS,Hellinger,0.08978,0.11054,0.1563,0.14943,0.18557,0.24617,5.0
Alt3,HMC,Hellinger,0.11066,0.11267,0.15854,0.17617,0.18786,0.20533,5.0
Alt3,bayesm,KL,inf,,inf,inf,,inf,5.0
Alt3,Replication,KL,0.01751,,inf,inf,,inf,5.0
Alt3,NUTS,KL,0.21549,,inf,inf,,inf,5.0
Alt3,HMC,KL,inf,,inf,inf,,inf,5.0
Alt3,bayesm,JSD,0.00451,0.00742,0.01435,0.01355,0.0181,0.02817,5.0
Alt3,Replication,JSD,0.00321,0.00686,0.01525,0.01203,0.02138,0.03276,5.0
Alt3,NUTS,JSD,0.00744,0.01094,0.02372,0.01898,0.03117,0.05006,5.0
Alt3,HMC,JSD,0.01137,0.01154,0.02299,0.02379,0.03181,0.03643,5.0
Alt3,bayesm,TVD,0.05261,0.06362,0.09928,0.10398,0.11736,0.15884,5.0
Alt3,Replication,TVD,0.04503,0.06282,0.10223,0.0971,0.1331,0.17312,5.0
Alt3,NUTS,TVD,0.06168,0.06194,0.11935,0.11199,0.16327,0.19787,5.0
Alt3,HMC,TVD,0.07803,0.09752,0.12756,0.11025,0.16963,0.18239,5.0
Alt3,bayesm,Wasserstein1,0.13669,0.19785,0.36422,0.29306,0.41908,0.77441,5.0
Alt3,Replication,Wasserstein1,0.12242,0.19828,0.3798,0.2586,0.4449,0.87478,5.0
Alt3,NUTS,Wasserstein1,0.2766,0.28379,0.62176,0.55011,0.6707,1.3276,5.0
Alt3,HMC,Wasserstein1,0.2832,0.2864,0.55129,0.57186,0.70198,0.91301,5.0
Price,bayesm,Hellinger,0.05525,0.05714,0.08341,0.05998,0.10533,0.13935,5.0
Price,Replication,Hellinger,0.05708,0.05936,0.08521,0.05965,0.10977,0.14021,5.0
Price,NUTS,Hellinger,0.06106,0.07473,0.10043,0.07676,0.12317,0.16641,5.0
Price,HMC,Hellinger,0.06127,0.1012,0.12395,0.12538,0.16168,0.17024,5.0
Price,bayesm,KL,inf,,inf,inf,,inf,5.0
Price,Replication,KL,0.0141,,inf,inf,,inf,5.0
Price,NUTS,KL,inf,,inf,inf,,inf,5.0
Price,HMC,KL,0.23906,,inf,inf,,inf,5.0
Price,bayesm,JSD,0.00292,0.00319,0.00777,0.0033,0.01065,0.01879,5.0
Price,Replication,JSD,0.00322,0.0033,0.00808,0.00332,0.01151,0.01907,5.0
Price,NUTS,JSD,0.00333,0.00472,0.01079,0.00545,0.01417,0.0263,5.0
Price,HMC,JSD,0.00345,0.01004,0.01523,0.01482,0.02021,0.02765,5.0
Price,bayesm,TVD,0.05093,0.05816,0.08199,0.05984,0.1012,0.13982,5.0
Price,Replication,TVD,0.05157,0.05969,0.08323,0.06053,0.10416,0.14021,5.0
Price,NUTS,TVD,0.05217,0.05604,0.09085,0.0704,0.11636,0.15929,5.0
Price,HMC,TVD,0.05974,0.08999,0.10727,0.09818,0.12552,0.1629,5.0
Price,bayesm,Wasserstein1,0.17398,0.20688,0.32022,0.23128,0.3742,0.61474,5.0
Price,Replication,Wasserstein1,0.17535,0.21232,0.32525,0.21717,0.37463,0.64679,5.0
Price,NUTS,Wasserstein1,0.18525,0.20125,0.35075,0.28145,0.43084,0.65498,5.0
Price,HMC,Wasserstein1,0.19293,0.21977,0.38636,0.43891,0.44027,0.63991,5.0
