k_true,param,sampler,metric,min,q1,mean,median,q3,max,n_sim
1,Alt1,bayesm,Hellinger,0.05283,0.0764,0.11455,0.09144,0.12344,0.43174,100.0
1,Alt1,Replication,Hellinger,0.04821,0.07036,0.11351,0.09495,0.13462,0.51672,100.0
1,Alt1,NUTS,Hellinger,0.0548,0.07753,0.12221,0.09679,0.13796,0.46751,100.0
1,Alt1,HMC,Hellinger,0.04946,0.07926,0.12367,0.09914,0.14807,0.40961,100.0
1,Alt1,bayesm,KL,0.05733,0.12759,0.65833,0.22641,0.42795,13.15285,100.0
1,Alt1,Replication,KL,0.04807,0.11902,0.50208,0.1963,0.41662,7.06217,100.0
1,Alt1,NUTS,KL,0.05989,0.86398,inf,1.452,,inf,100.0
1,Alt1,HMC,KL,0.18814,0.64052,inf,0.97528,2.20169,inf,100.0
1,Alt1,bayesm,JSD,0.00213,0.00478,0.01522,0.00674,0.01343,0.15081,100.0
1,Alt1,Replication,JSD,0.0018,0.00408,0.01496,0.00804,0.01564,0.20717,100.0
1,Alt1,NUTS,JSD,0.00243,0.00455,0.01763,0.00792,0.01627,0.1866,100.0
1,Alt1,HMC,JSD,0.00194,0.00508,0.01746,0.00781,0.01908,0.13158,100.0
1,Alt1,bayesm,TVD,0.01422,0.04319,0.08619,0.06631,0.10085,0.41379,100.0
1,Alt1,Replication,TVD,0.01243,0.04302,0.08643,0.06843,0.1048,0.48959,100.0
1,Alt1,NUTS,TVD,0.01078,0.04278,0.09328,0.06864,0.11558,0.49253,100.0
1,Alt1,HMC,TVD,0.00985,0.04555,0.09438,0.0695,0.11792,0.40166,100.0
1,Alt2,bayesm,Hellinger,0.04767,0.07277,0.11098,0.09046,0.12726,0.44819,100.0
1,Alt2,Replication,Hellinger,0.04753,0.06944,0.11174,0.09122,0.12449,0.5562,100.0
1,Alt2,NUTS,Hellinger,0.04237,0.0773,0.12223,0.096,0.13592,0.52176,100.0
1,Alt2,HMC,Hellinger,0.04452,0.07526,0.12102,0.09784,0.15095,0.45726,100.0
1,Alt2,bayesm,KL,0.0497,0.10526,0.62372,0.18754,0.39996,10.83458,100.0
1,Alt2,Replication,KL,0.04929,0.10796,0.56613,0.20374,0.4216,13.19211,100.0
1,Alt2,NUTS,KL,0.07148,0.44324,inf,0.81043,1.59882,inf,100.0
1,Alt2,HMC,KL,0.042,0.299,inf,0.52083,0.92253,inf,100.0
1,Alt2,bayesm,JSD,0.00166,0.00433,0.01332,0.00703,0.01473,0.165,100.0
1,Alt2,Replication,JSD,0.00164,0.00402,0.01408,0.00716,0.01331,0.24086,100.0
1,Alt2,NUTS,JSD,0.00129,0.0047,0.01707,0.00788,0.01667,0.22487,100.0
1,Alt2,HMC,JSD,0.00142,0.00435,0.01669,0.00838,0.02061,0.17392,100.0
1,Alt2,bayesm,TVD,0.00961,0.04225,0.08169,0.06732,0.10758,0.44514,100.0
1,Alt2,Replication,TVD,0.00853,0.04249,0.08278,0.0661,0.10168,0.55121,100.0
1,Alt2,NUTS,TVD,0.0076,0.04444,0.09501,0.06939,0.12619,0.54439,100.0
1,Alt2,HMC,TVD,0.00734,0.04693,0.09479,0.07493,0.12429,0.46479,100.0
1,Alt3,bayesm,Hellinger,0.04695,0.072,0.1171,0.09407,0.12206,0.47494,100.0
1,Alt3,Replication,Hellinger,0.04493,0.07313,0.11665,0.09104,0.12599,0.49263,100.0
1,Alt3,NUTS,Hellinger,0.04684,0.0692,0.1191,0.08924,0.12433,0.53555,100.0
1,Alt3,HMC,Hellinger,0.04751,0.0719,0.11829,0.08922,0.12928,0.58292,100.0
1,Alt3,bayesm,KL,0.04726,0.12839,0.42474,0.18861,0.36817,4.48571,100.0
1,Alt3,Replication,KL,0.0419,0.12239,0.50775,0.16962,0.37602,6.2159,100.0
1,Alt3,NUTS,KL,0.07335,0.30326,0.69737,0.43452,0.8911,4.28493,100.0
1,Alt3,HMC,KL,0.0763,0.20445,0.56548,0.32164,0.6295,5.5973,100.0
1,Alt3,bayesm,JSD,0.0017,0.00417,0.01705,0.00713,0.01328,0.19064,100.0
1,Alt3,Replication,JSD,0.00158,0.00431,0.01719,0.0065,0.01392,0.19398,100.0
1,Alt3,NUTS,JSD,0.00166,0.00382,0.01833,0.00668,0.01354,0.2374,100.0
1,Alt3,HMC,JSD,0.00166,0.00403,0.01788,0.00648,0.01453,0.27806,100.0
1,Alt3,bayesm,TVD,0.00941,0.03841,0.09053,0.06478,0.10488,0.49665,100.0
1,Alt3,Replication,TVD,0.01072,0.03734,0.09003,0.06144,0.10464,0.49545,100.0
1,Alt3,NUTS,TVD,0.00874,0.03892,0.09394,0.06541,0.10746,0.5608,100.0
1,Alt3,HMC,TVD,0.01132,0.04185,0.09389,0.06367,0.10421,0.60911,100.0
1,Price,bayesm,Hellinger,0.04528,0.06528,0.0899,0.07778,0.10354,0.19465,100.0
1,Price,Replication,Hellinger,0.04394,0.06496,0.09082,0.07956,0.1043,0.21127,100.0
