param,sampler,metric,min,q1,mean,median,q3,max,n_sim
Alt1,bayesm,Hellinger,0.04674,0.09374,0.13915,0.12146,0.17479,0.35573,50.0
Alt1,Replication,Hellinger,0.05046,0.09233,0.14166,0.1278,0.17243,0.3655,50.0
Alt1,NUTS,Hellinger,0.06463,0.12435,0.18398,0.16849,0.22467,0.38686,50.0
Alt1,HMC,Hellinger,0.07875,0.13002,0.18484,0.17659,0.21851,0.34576,50.0
Alt1,bayesm,KL,0.00973,0.0463,0.66791,0.09828,0.18145,11.72141,50.0
Alt1,Replication,KL,0.01248,0.04593,0.70914,0.09235,0.19206,14.48995,50.0
Alt1,NUTS,KL,0.05066,0.125,inf,0.27227,0.75778,inf,50.0
Alt1,HMC,KL,0.05033,0.16386,inf,0.32352,0.67438,inf,50.0
Alt1,bayesm,JSD,0.00211,0.00854,0.02144,0.01384,0.02811,0.09847,50.0
Alt1,Replication,JSD,0.00244,0.00816,0.02245,0.01524,0.02757,0.10431,50.0
Alt1,NUTS,JSD,0.00389,0.01438,0.03426,0.02512,0.04538,0.11547,50.0
Alt1,HMC,JSD,0.00547,0.01581,0.03415,0.0276,0.04431,0.09761,50.0
Alt1,bayesm,TVD,0.0359,0.08592,0.11565,0.10857,0.15736,0.21504,50.0
Alt1,Replication,TVD,0.03966,0.08492,0.11796,0.10911,0.15196,0.24317,50.0
Alt1,NUTS,TVD,0.0594,0.12028,0.14907,0.14128,0.18671,0.32213,50.0
Alt1,HMC,TVD,0.04826,0.1137,0.15354,0.14618,0.19196,0.3116,50.0
Alt1,bayesm,Wasserstein1,0.10543,0.28434,0.47307,0.39632,0.57626,1.66807,50.0
Alt1,Replication,Wasserstein1,0.10291,0.29665,0.49053,0.36547,0.62309,2.45501,50.0
Alt1,NUTS,Wasserstein1,0.17002,0.35302,0.93021,0.48192,0.78442,7.08552,50.0
Alt1,HMC,Wasserstein1,0.1898,0.38262,0.711,0.49446,0.85266,4.73954,50.0
Alt2,bayesm,Hellinger,0.04254,0.08409,0.14024,0.12328,0.1799,0.37317,50.0
Alt2,Replication,Hellinger,0.03731,0.08312,0.13621,0.12652,0.16859,0.38523,50.0
Alt2,NUTS,Hellinger,0.05876,0.10009,0.1707,0.15855,0.21998,0.43084,50.0
Alt2,HMC,Hellinger,0.06809,0.1057,0.16903,0.15612,0.22057,0.3943,50.0
Alt2,bayesm,KL,0.00781,0.04509,0.7657,0.10772,0.26682,14.12279,50.0
Alt2,Replication,KL,0.00632,0.04254,0.46519,0.10249,0.26456,7.03854,50.0
Alt2,NUTS,KL,0.01703,0.08892,inf,0.24267,0.57663,inf,50.0
Alt2,HMC,KL,0.02745,0.12148,inf,0.24006,0.45896,inf,50.0
Alt2,bayesm,JSD,0.00179,0.00658,0.02227,0.0142,0.02912,0.10819,50.0
Alt2,Replication,JSD,0.00137,0.00638,0.02069,0.01494,0.02518,0.11746,50.0
Alt2,NUTS,JSD,0.00334,0.0093,0.03041,0.02412,0.04329,0.14258,50.0
Alt2,HMC,JSD,0.0045,0.01027,0.0295,0.02206,0.04304,0.12165,50.0
Alt2,bayesm,TVD,0.02886,0.07479,0.11582,0.1035,0.14882,0.25186,50.0
Alt2,Replication,TVD,0.03023,0.07634,0.11353,0.10132,0.1383,0.28428,50.0
Alt2,NUTS,TVD,0.04412,0.08817,0.13858,0.14576,0.17507,0.31712,50.0
Alt2,HMC,TVD,0.05802,0.09412,0.14274,0.13248,0.17351,0.30294,50.0
Alt2,bayesm,Wasserstein1,0.08801,0.22076,0.47867,0.39401,0.56632,1.87605,50.0
Alt2,Replication,Wasserstein1,0.09292,0.2274,0.44013,0.39002,0.48226,1.79514,50.0
Alt2,NUTS,Wasserstein1,0.14076,0.29651,0.68584,0.44491,0.73008,4.10287,50.0
Alt2,HMC,Wasserstein1,0.14356,0.28799,0.55803,0.43638,0.6745,2.59044,50.0
Alt3,bayesm,Hellinger,0.03879,0.08974,0.13165,0.11757,0.15286,0.34481,50.0
Alt3,Replication,Hellinger,0.03937,0.09158,0.1286,0.111,0.15132,0.37083,50.0
Alt3,NUTS,Hellinger,0.04502,0.1081,0.16204,0.14383,0.18613,0.39994,50.0
Alt3,HMC,Hellinger,0.0481,0.11007,0.16663,0.15208,0.19171,0.37399,50.0
Alt3,bayesm,KL,0.006,0.04819,0.30778,0.09707,0.18039,6.3576,50.0
Alt3,Replication,KL,0.00631,0.04887,0.53109,0.09054,0.15026,18.74868,50.0
Alt3,NUTS,KL,0.01204,0.09534,inf,0.1927,0.4018,inf,50.0
Alt3,HMC,KL,0.0184,0.10248,inf,0.20026,0.4439,inf,50.0
Alt3,bayesm,JSD,0.0015,0.00779,0.01913,0.01292,0.02055,0.09471,50.0
Alt3,Replication,JSD,0.00154,0.00783,0.01823,0.01185,0.02025,0.10744,50.0
Alt3,NUTS,JSD,0.00194,0.01092,0.02768,0.01945,0.03077,0.12265,50.0
Alt3,HMC,JSD,0.00212,0.01139,0.02911,0.02114,0.03248,0.10918,50.0
Alt3,bayesm,TVD,0.04523,0.07735,0.11281,0.102,0.13672,0.23349,50.0
