k_true,series,param,sampler,min_ess,q25_ess,median_ess,q75_ess,frac_ess_ge_400,n_sim
1,density,Alt1,bayesm,3.64,18.968,81.363,201.093,0.13,100
1,density,Alt1,bayesm_gibbs,3.324,19.136,105.764,285.968,0.17,100
1,density,Alt1,nuts,3.323,13.976,145.027,605.252,0.33,100
1,density,Alt1,hmc,2.636,5.178,33.138,148.368,0.08,100
1,density,Alt2,bayesm,3.448,26.694,101.294,313.657,0.19,100
1,density,Alt2,bayesm_gibbs,3.649,28.883,98.07,298.788,0.22,100
1,density,Alt2,nuts,3.48,13.396,142.24,470.85,0.32,100
1,density,Alt2,hmc,3.198,6.977,35.144,117.713,0.07,100
1,density,Alt3,bayesm,4.309,26.533,94.743,321.002,0.16,100
1,density,Alt3,bayesm_gibbs,2.999,25.199,69.934,342.516,0.2,100
1,density,Alt3,nuts,3.149,13.642,110.269,484.877,0.32,100
1,density,Alt3,hmc,3.036,7.704,34.917,108.365,0.04,100
1,density,Price,bayesm,3.332,21.468,77.606,279.408,0.19,100
1,density,Price,bayesm_gibbs,3.366,26.912,66.687,291.826,0.19,100
1,density,Price,nuts,3.212,11.395,190.752,514.452,0.33,100
1,density,Price,hmc,3.14,9.694,37.4,147.945,0.1,100
1,Mean,Alt1,bayesm,2.866,16.648,68.363,246.167,0.18,100
1,Mean,Alt1,bayesm_gibbs,3.188,22.509,89.3,313.402,0.21,100
1,Mean,Alt1,nuts,4.566,24.026,184.473,1457.427,0.38,100
1,Mean,Alt1,hmc,3.046,22.298,90.046,330.628,0.22,100
1,Mean,Alt2,bayesm,2.758,21.882,66.813,294.337,0.19,100
1,Mean,Alt2,bayesm_gibbs,3.898,16.01,50.968,254.404,0.21,100
1,Mean,Alt2,nuts,2.757,23.614,129.356,1144.644,0.38,100
1,Mean,Alt2,hmc,2.683,20.769,72.74,351.742,0.25,100
1,Mean,Alt3,bayesm,3.015,23.046,96.275,439.142,0.26,100
1,Mean,Alt3,bayesm_gibbs,3.394,22.058,86.985,431.826,0.26,100
1,Mean,Alt3,nuts,3.332,20.84,110.3,1026.153,0.33,100
1,Mean,Alt3,hmc,3.57,16.362,77.531,332.713,0.21,100
1,Mean,Price,bayesm,4.723,29.414,79.555,281.567,0.22,100
1,Mean,Price,bayesm_gibbs,3.671,22.593,73.743,369.813,0.25,100
1,Mean,Price,nuts,3.127,16.561,124.072,873.417,0.4,100
1,Mean,Price,hmc,3.372,19.087,96.951,233.141,0.22,100
1,Var,Alt1,bayesm,2.973,24.993,152.805,730.254,0.35,100
1,Var,Alt1,bayesm_gibbs,3.411,40.25,156.249,534.79,0.32,100
1,Var,Alt1,nuts,4.184,17.42,200.248,1254.453,0.37,100
1,Var,Alt1,hmc,3.581,11.759,43.93,169.647,0.17,100
1,Var,Alt2,bayesm,2.889,26.657,127.016,755.505,0.37,100
1,Var,Alt2,bayesm_gibbs,6.006,30.018,145.673,472.961,0.3,100
1,Var,Alt2,nuts,3.06,16.507,111.192,1095.281,0.36,100
1,Var,Alt2,hmc,2.968,17.328,60.612,237.441,0.19,100
1,Var,Alt3,bayesm,3.992,24.557,196.544,860.033,0.42,100
1,Var,Alt3,bayesm_gibbs,5.06,39.465,155.328,953.468,0.36,100
1,Var,Alt3,nuts,3.241,24.046,148.56,853.612,0.37,100
1,Var,Alt3,hmc,3.863,16.568,57.004,244.868,0.19,100
1,Var,Price,bayesm,3.887,49.41,176.243,709.269,0.35,100
1,Var,Price,bayesm_gibbs,4.469,36.33,140.447,733.59,0.37,100
1,Var,Price,nuts,3.004,19.693,140.505,1418.679,0.35,100
1,Var,Price,hmc,4.29,15.213,102.496,275.379,0.19,100
2,density,Alt1,bayesm,3.2,19.14,99.607,220.578,0.13,100
2,density,Alt1,bayesm_gibbs,3.213,31.086,86.824,243.668,0.12,100
2,density,Alt1,nuts,3.042,11.385,43.085,190.291,0.17,100
2,density,Alt1,hmc,3.153,8.523,21.562,89.37,0.08,100
2,density,Alt2,bayesm,3.381,27.985,121.961,225.581,0.14,100
