k_true,sampler,min,q1,median,q3,max,n_runs
1,bayesm,3.52,3.63,3.69,3.77,3.86,100.0
1,Replication,3.78,3.87,3.91,3.95,4.26,100.0
1,NUTS,13.07,21.59,33.74,60.27,245.04,100.0
1,HMC,5.5,5.65,5.68,5.7,6.05,100.0
2,bayesm,3.56,3.65,3.7,3.77,4.0,100.0
2,Replication,3.81,3.86,3.89,3.94,4.18,100.0
2,NUTS,17.23,29.29,37.18,56.85,337.28,100.0
2,HMC,5.53,5.63,5.67,5.71,6.0,100.0
3,bayesm,3.57,3.66,3.71,3.76,3.9,100.0
3,Replication,3.77,3.87,3.91,3.97,4.37,100.0
3,NUTS,15.29,28.27,44.68,61.6,178.09,100.0
3,HMC,5.54,5.63,5.67,5.7,5.8,100.0
5,bayesm,3.58,3.69,3.74,3.78,3.97,100.0
5,Replication,3.77,3.86,3.91,3.95,4.21,100.0
5,NUTS,15.27,19.7,26.79,40.49,178.67,100.0
5,HMC,5.56,5.65,5.68,5.7,5.82,100.0
