dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,warmup,posterior,seed,a_mu,a_delta,dirichlet_a,num_integration_steps
kt1_s01,1comp,1,1,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s02,1comp,1,2,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s03,1comp,1,3,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s04,1comp,1,4,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s05,1comp,1,5,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s06,1comp,1,6,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s07,1comp,1,7,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s08,1comp,1,8,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s09,1comp,1,9,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt1_s10,1comp,1,10,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s01,2comp_equal,2,1,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s02,2comp_equal,2,2,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s03,2comp_equal,2,3,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s04,2comp_equal,2,4,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s05,2comp_equal,2,5,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s06,2comp_equal,2,6,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s07,2comp_equal,2,7,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s08,2comp_equal,2,8,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s09,2comp_equal,2,9,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt2_s10,2comp_equal,2,10,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s01,3comp_equal,3,1,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s02,3comp_equal,3,2,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s03,3comp_equal,3,3,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s04,3comp_equal,3,4,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s05,3comp_equal,3,5,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s06,3comp_equal,3,6,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s07,3comp_equal,3,7,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s08,3comp_equal,3,8,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s09,3comp_equal,3,9,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt3_s10,3comp_equal,3,10,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s01,5comp_equal,5,1,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s02,5comp_equal,5,2,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s03,5comp_equal,5,3,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s04,5comp_equal,5,4,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s05,5comp_equal,5,5,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s06,5comp_equal,5,6,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s07,5comp_equal,5,7,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s08,5comp_equal,5,8,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s09,5comp_equal,5,9,nuts,1,5,2000,10000,42,0.01,0.01,1,10
kt5_s10,5comp_equal,5,10,nuts,1,5,2000,10000,42,0.01,0.01,1,10
