dataset_key,scenario,k_true,data_seed,sampler,n_chains,k_model,warmup,posterior,r_total,burn_in,thin,seed,a_mu,a_delta,dirichlet_a,num_integration_steps
kt1_s01,1comp,1,1,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s02,1comp,1,2,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s03,1comp,1,3,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s04,1comp,1,4,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s05,1comp,1,5,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s06,1comp,1,6,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s07,1comp,1,7,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s08,1comp,1,8,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s09,1comp,1,9,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s10,1comp,1,10,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s11,1comp,1,11,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s12,1comp,1,12,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s13,1comp,1,13,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s14,1comp,1,14,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s15,1comp,1,15,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s16,1comp,1,16,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s17,1comp,1,17,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
kt1_s18,1comp,1,18,bayesm_gibbs,2,5,2000,10000,42000,2000,4,42,0.01,0.01,1,10
